        Frequency / GHz                S1,1 (T=0.9)/abs,dB
                 18.5536                      -16.713733
                   18.58                      -16.590616
                 18.6064                      -16.444737
               18.632799                      -16.278978
               18.659201                      -16.096337
                 18.6856                      -15.899801
                  18.712                      -15.692246
                 18.7384                      -15.476363
               18.764799                      -15.254612
               18.791201                        -15.0292
                 18.8176                      -14.802066
                  18.844                      -14.574898
               18.870399                      -14.349137
               18.896799                      -14.126001
               18.923201                       -13.90651
                 18.9496                      -13.691504
                  18.976                      -13.481668
               19.002399                      -13.277549
               19.028799                      -13.079586
               19.055201                       -12.88811
                 19.0816                      -12.703373
                  19.108                      -12.525551
               19.134399                      -12.354765
               19.160801                      -12.191075
               19.187201                      -12.034507
                 19.2136                      -11.885045
                   19.24                      -11.742634
               19.266399                      -11.607205
               19.292801                      -11.478654
               19.319201                      -11.356857
                 19.3456                      -11.241679
                  19.372                      -11.132959
               19.398399                      -11.030527
               19.424801                        -10.9342
                 19.4512                      -10.843778
                 19.4776                      -10.759056
                  19.504                      -10.679814
               19.530399                      -10.605829
               19.556801                      -10.536862
                 19.5832                      -10.472676
                 19.6096                      -10.413022
                  19.636                      -10.357647
               19.662399                      -10.306296
               19.688801                      -10.258711
                 19.7152                      -10.214635
                 19.7416                      -10.173806
                  19.768                       -10.13597
               19.794399                      -10.100874
               19.820801                       -10.06827
                 19.8472                      -10.037921
                 19.8736                      -10.009595
                    19.9                      -9.9830733
               19.926399                      -9.9581502
               19.952801                      -9.9346328
                 19.9792                      -9.9123462
                 20.0056                      -9.8911303
                  20.032                      -9.8708467
               20.058399                      -9.8513702
               20.084801                      -9.8326029
                 20.1112                      -9.8144572
                 20.1376                      -9.7968719
                  20.164                      -9.7798032
               20.190399                      -9.7632192
               20.216801                      -9.7471112
                 20.2432                      -9.7314798
                 20.2696                      -9.7163423
                  20.296                      -9.7017203
               20.322399                      -9.6876483
               20.348801                      -9.6741596
                 20.3752                      -9.6612965
                 20.4016                      -9.6490924
               20.427999                      -9.6375828
               20.454399                       -9.626791
               20.480801                      -9.6167351
                 20.5072                      -9.6074186
                 20.5336                      -9.5988286
               20.559999                        -9.59094
               20.586399                       -9.583704
               20.612801                      -9.5770555
                 20.6392                      -9.5709043
                 20.6656                      -9.5651455
               20.691999                      -9.5596455
               20.718399                       -9.554254
               20.744801                      -9.5487973
                 20.7712                      -9.5430897
                 20.7976                      -9.5369202
               20.823999                       -9.530072
               20.850401                      -9.5223151
               20.876801                      -9.5134122
