        Frequency / GHz                S1,1/abs,dB
               7,8032999                      -27,570359
               7,8182001                      -29,535914
               7,8330998                      -31,974788
                   7,848                      -34,921996
               7,8628998                      -37,456266
                  7,8778                      -36,765077
               7,8927002                      -33,808847
               7,9075999                      -30,995735
               7,9225001                      -28,711429
               7,9373999                      -26,855228
               7,9523001                       -25,31348
               7,9671998                      -24,005321
                  7,9821                      -22,875594
               7,9970002                      -21,886018
               8,0118999                      -21,009256
               8,0268002                      -20,225229
               8,0417004                       -19,51881
               8,0565996                      -18,878351
               8,0714998                      -18,294721
                  8,0864                      -17,760653
               8,1013002                      -17,270289
               8,1162004                      -16,818867
               8,1310997                      -16,402477
               8,1459999                        -16,0179
               8,1609001                      -15,662459
               8,1758003                      -15,333925
               8,1906996                      -15,030422
               8,2055998                      -14,750359
                  8,2205                      -14,492365
               8,2354002                      -14,255231
               8,2503004                      -14,037854
               8,2651997                      -13,839192
               8,2800999                      -13,658208
               8,2950001                      -13,493827
               8,3099003                      -13,344879
               8,3247995                      -13,210053
               8,3396997                      -13,087844
                  8,3546                      -12,976508
               8,3695002                      -12,874012
               8,3844004                      -12,778002
               8,3992996                      -12,685774
               8,4141998                      -12,594273
                  8,4291                      -12,500115
               8,4440002                      -12,399648
               8,4589005                      -12,289056
               8,4737997                      -12,164512
               8,4886999                      -12,022364
               8,5036001                      -11,859366
               8,5185003                      -11,672901
               8,5333996                      -11,461191
               8,5482998                      -11,223446
                  8,5632                      -10,959932
               8,5781002                      -10,671955
               8,5930004                      -10,361735
               8,6078997                      -10,032241
               8,6227999                      -9,6869532
               8,6377001                      -9,3296409
               8,6526003                      -8,9641499
               8,6674995                      -8,5942254
               8,6823997                      -8,2233776
                  8,6973                      -7,8548067
               8,7122002                      -7,4913449
               8,7271004                       -7,135447
               8,7419996                      -6,7892001
               8,7568998                      -6,4543412
                  8,7718                      -6,1322877
               8,7867002                      -5,8241802
               8,8016005                      -5,5309066
               8,8164997                      -5,2531398
               8,8313999                      -4,9913679
               8,8463001                      -4,7459204
               8,8612003                      -4,5169891
               8,8760996                       -4,304647
               8,8909998                      -4,1088657
                  8,9059                      -3,9295261
               8,9208002                      -3,7664277
               8,9357004                      -3,6192957
               8,9505997                      -3,4877876
               8,9654999                      -3,3714966
               8,9804001                      -3,2699551
               8,9953003                      -3,1826326
               9,0101995                      -3,1089374
               9,0250998                      -3,0482203
                    9,04                      -2,9997719
               9,0549002                      -2,9628241
               9,0698004                      -2,9365491
               9,0846996                       -2,920064
               9,0995998                      -2,9124371
                  9,1145                      -2,9126842
               9,1294003                      -2,9197875
               9,1443005                      -2,9326976
               9,1591997                      -2,9503472
               9,1740999                      -2,9716671
               9,1890001                      -2,9956018
               9,2039003                      -3,0211328
               9,2187996                        -3,04729
               9,2336998                      -3,0731821
                  9,2486                      -3,0980109
               9,2635002                      -3,1210876
               9,2784004                      -3,1418552
               9,2932997                      -3,1598935
               9,3081999                      -3,1749272
               9,3231001                      -3,1868281
               9,3380003                      -3,1956065
               9,3528996                      -3,2014052
               9,3677998                       -3,204482
                  9,3827                       -3,205192
               9,3976002                      -3,2039606
               9,4125004                      -3,2012692
               9,4273996                      -3,1976206
               9,4422998                      -3,1935263
               9,4572001                      -3,1894753
               9,4721003                      -3,1859245
               9,4870005                      -3,1832721
               9,5018997                      -3,1818542
               9,5167999                      -3,1819298
               9,5317001                      -3,1836741
               9,5466003                      -3,1871811
               9,5614996                      -3,1924565
               9,5763998                      -3,1994275
                  9,5913                      -3,2079455
               9,6062002                      -3,2177946
               9,6211004                      -3,2287055
               9,6359997                      -3,2403642
               9,6508999                      -3,2524297
               9,6658001                      -3,2645482
               9,6807003                      -3,2763679
               9,6955996                      -3,2875551
               9,7104998                      -3,2978079
                  9,7254                      -3,3068693
               9,7403002                      -3,3145424
               9,7552004                      -3,3206886
               9,7700996                      -3,3252441
               9,7849998                      -3,3282132
               9,7999001                      -3,3296714
               9,8148003                      -3,3297578
               9,8297005                      -3,3286698
               9,8445997                      -3,3266502
               9,8594999                      -3,3239779
               9,8744001                      -3,3209523
               9,8893003                       -3,317881
               9,9041996                      -3,3150664
               9,9190998                      -3,3127913
                   9,934                      -3,3113114
               9,9489002                      -3,3108407
               9,9638004                      -3,3115454
               9,9786997                      -3,3135408
               9,9935999                      -3,3168852
                 10,0085                      -3,3215794
                 10,0234                        -3,32757
                 10,0383                      -3,3347511
                 10,0532                      -3,3429693
                 10,0681                      -3,3520347
                  10,083                      -3,3617299
                 10,0979                      -3,3718157
                 10,1128                      -3,3820481
                 10,1277                      -3,3921878
                 10,1426                      -3,4020086
                 10,1575                      -3,4113129
                 10,1724                      -3,4199387
                 10,1873                      -3,4277694
                 10,2022                      -3,4347352
                 10,2171                      -3,4408219
                  10,232                      -3,4460681
                 10,2469                      -3,4505624
                 10,2618                      -3,4544461
                 10,2767                      -3,4578986
                 10,2916                      -3,4611333
                 10,3065                      -3,4643897
                 10,3214                      -3,4679189
                 10,3363                      -3,4719775
                 10,3512                      -3,4768134
                 10,3661                      -3,4826566
                  10,381                      -3,4897138
                 10,3959                      -3,4981554
                 10,4108                       -3,508116
                 10,4257                      -3,5196826
                 10,4406                      -3,5329008
                 10,4555                      -3,5477694
                 10,4704                      -3,5642417
