freq	dB(S11_fitted)
6.16071428550000100E9	-5.05127936782825326E0
6.21428571400000074E9	-4.96319751638027729E0
6.26785714249999959E9	-4.85853406988974701E0
6.32142857100000022E9	-4.73849736922662412E0
6.37499999950000085E9	-4.60540347366697844E0
6.42857142799999970E9	-4.46268217936923328E0
6.45535714231250246E9	-4.38906598829841244E0
6.48214285662499901E9	-4.31477969067896971E0
6.50892857093750088E9	-4.24050320784686896E0
6.53571428525000009E9	-4.16694755008284634E0
6.56249999956249930E9	-4.09484265068420150E0
6.58928571387499851E9	-4.02492420360862546E0
6.61607142818749860E9	-3.95791990399965776E0
6.64285714250000048E9	-3.89453554650303779E0
6.66964285681249969E9	-3.83544147081499043E0
6.69642857112499978E9	-3.78125985240541773E0
6.72321428543749988E9	-3.73255331551642122E0
6.74999999974999998E9	-3.68981529438550027E0
6.77678571406250096E9	-3.65346248907241877E0
6.80357142837500106E9	-3.62382965915934552E0
6.83035714268749850E9	-3.60116687950782266E0
6.85714285700000126E9	-3.58563925667498129E0
6.89285714274999872E9	-3.57159903988751237E0
6.92857142849999974E9	-3.56682421867703425E0
6.96428571424999898E9	-3.57145480568044338E0
7.00000000000000000E9	-3.58560850314151036E0
7.03571428575000102E9	-3.60938285660220970E0
7.07142857150000026E9	-3.64285799647265707E0
7.10714285725000128E9	-3.68609990827607925E0
7.14285714299999874E9	-3.73916415838650362E0
7.17857142868750042E9	-3.80209999195839998E0
7.21428571437499766E9	-3.87495471470738817E0
7.25000000006250112E9	-3.95777826714649539E0
7.28571428575000102E9	-4.05062790444424614E0
7.32142857143749826E9	-4.15357289963320131E0
7.35714285712499816E9	-4.26669919723350066E0
7.39285714281249984E9	-4.39011395512847091E0
7.42857142849999974E9	-4.52394992470422608E0
7.46428571418749964E9	-4.66836963207347555E0
7.49999999987500132E9	-4.82356933605687743E0
7.53571428556250122E9	-4.98978275102028324E0
7.57142857125000113E9	-5.16728453430356449E0
7.60714285693750014E9	-5.35639354855693917E0
7.64285714262500004E9	-5.55747591859982659E0
7.67857142831249995E9	-5.77094791018576547E0
7.71428571400000074E9	-5.99727866393294740E0
7.74107142831249995E9	-6.17577873771323560E0
7.76785714262500004E9	-6.36204843233432626E0
7.79464285693750014E9	-6.55634936147589809E0
7.82142857125000113E9	-6.75896269816011319E0
7.84821428556250122E9	-6.97018976412532609E0
7.87499999987500132E9	-7.19035261329661068E0
7.90178571418749964E9	-7.41979460191892226E0
7.92857142849999974E9	-7.65888093078024745E0
7.95535714281249984E9	-7.90799913471121840E0
7.98214285712499816E9	-8.16755948001935117E0
8.00892857143749737E9	-8.43799521005047382E0
8.03571428575000013E9	-8.71976255038409320E0
