        Frequency / GHz                S1,1 (wf=3.96)/abs,dB
                 24.8368                      -12.354189
               24.863199                      -12.146179
               24.889601                      -11.931606
                  24.916                      -11.712586
                 24.9424                      -11.491659
                 24.9688                      -11.271648
               24.995199                      -11.055492
               25.021601                       -10.84611
                  25.048                      -10.646283
                 25.0744                       -10.45855
                 25.1008                      -10.285137
               25.127199                      -10.127903
               25.153601                      -9.9883093
                   25.18                      -9.8674005
                 25.2064                      -9.7657934
                 25.2328                      -9.6836865
               25.259199                      -9.6208603
               25.285601                      -9.5767037
                  25.312                      -9.5502365
                 25.3384                      -9.5401411
               25.364799                      -9.5448188
               25.391199                       -9.562437
               25.417601                      -9.5910134
                  25.444                      -9.6284915
                 25.4704                      -9.6728359
               25.496799                      -9.7221268
               25.523199                      -9.7746464
               25.549601                      -9.8289523
                  25.576                      -9.8839295
                 25.6024                       -9.938799
               25.628799                      -9.9931057
               25.655199                      -10.046657
               25.681601                      -10.099441
                  25.708                      -10.151522
                 25.7344                      -10.202923
