        Frequency / GHz                S1,1 (1)/abs,dB
                 19.9792                      -11.892265
                 20.0056                      -12.067496
                  20.032                      -12.244855
               20.058399                      -12.423887
               20.084801                      -12.604147
                 20.1112                      -12.785207
                 20.1376                      -12.966656
                  20.164                      -13.148109
               20.190399                      -13.329212
               20.216801                      -13.509649
                 20.2432                      -13.689144
                 20.2696                      -13.867473
                  20.296                      -14.044457
               20.322399                      -14.219975
               20.348801                      -14.393962
                 20.3752                      -14.566408
                 20.4016                      -14.737364
               20.427999                      -14.906935
               20.454399                      -15.075284
               20.480801                      -15.242624
                 20.5072                      -15.409218
                 20.5336                      -15.575375
               20.559999                      -15.741445
               20.586399                      -15.907817
               20.612801                      -16.074908
                 20.6392                      -16.243166
                 20.6656                      -16.413063
               20.691999                      -16.585092
               20.718399                      -16.759758
               20.744801                      -16.937587
                 20.7712                       -17.11911
                 20.7976                       -17.30487
               20.823999                      -17.495414
               20.850401                      -17.691293
               20.876801                      -17.893065
