        Frequency / GHz                S1,1 (Lgnd=18.25)/abs,dB
               18.764799                      -13.321813
               18.791201                      -13.296844
                 18.8176                        -13.2721
                  18.844                      -13.247351
               18.870399                      -13.222357
               18.896799                      -13.196881
               18.923201                      -13.170677
                 18.9496                      -13.143501
                  18.976                       -13.11511
               19.002399                      -13.085254
               19.028799                      -13.053692
               19.055201                      -13.020181
                 19.0816                      -12.984484
                  19.108                      -12.946372
               19.134399                      -12.905626
               19.160801                      -12.862038
               19.187201                      -12.815416
                 19.2136                      -12.765585
                   19.24                      -12.712397
               19.266399                      -12.655729
               19.292801                      -12.595485
               19.319201                      -12.531609
                 19.3456                      -12.464079
                  19.372                      -12.392916
               19.398399                      -12.318185
               19.424801                      -12.239994
                 19.4512                      -12.158504
                 19.4776                      -12.073919
                  19.504                       -11.98649
               19.530399                      -11.896517
               19.556801                      -11.804342
                 19.5832                      -11.710345
                 19.6096                      -11.614946
                  19.636                      -11.518595
               19.662399                      -11.421771
               19.688801                      -11.324973
                 19.7152                      -11.228718
                 19.7416                      -11.133538
                  19.768                      -11.039967
               19.794399                      -10.948546
               19.820801                       -10.85981
                 19.8472                       -10.77429
                 19.8736                      -10.692512
                    19.9                       -10.61498
               19.926399                      -10.542193
               19.952801                      -10.474631
                 19.9792                      -10.412752
                 20.0056                      -10.357002
                  20.032                      -10.307803
               20.058399                       -10.26556
               20.084801                      -10.230659
                 20.1112                      -10.203466
                 20.1376                       -10.18433
                  20.164                      -10.173581
               20.190399                      -10.171535
               20.216801                      -10.178491
                 20.2432                      -10.194736
                 20.2696                      -10.220545
                  20.296                      -10.256179
               20.322399                      -10.301892
               20.348801                      -10.357931
                 20.3752                      -10.424534
                 20.4016                      -10.501936
               20.427999                      -10.590372
               20.454399                      -10.690074
               20.480801                      -10.801275
                 20.5072                      -10.924217
                 20.5336                      -11.059143
               20.559999                      -11.206309
               20.586399                      -11.365981
               20.612801                      -11.538444
                 20.6392                         -11.724
                 20.6656                      -11.922975
               20.691999                      -12.135729
               20.718399                       -12.36265
               20.744801                      -12.604171
                 20.7712                      -12.860776
                 20.7976                      -13.133001
               20.823999                      -13.421458
               20.850401                      -13.726835
               20.876801                      -14.049919
