        Frequency / GHz                S1,1/abs,dB
                 13,4176                      -4,4370074
                 13,4355                      -4,4096929
                 13,4534                      -4,3829136
                 13,4713                      -4,3566903
                 13,4892                      -4,3310437
                 13,5071                      -4,3059881
                  13,525                      -4,2815344
                 13,5429                      -4,2576894
                 13,5608                       -4,234457
                 13,5787                      -4,2118357
                 13,5966                      -4,1898223
                 13,6145                      -4,1684074
                 13,6324                      -4,1475821
                 13,6503                      -4,1273293
                 13,6682                      -4,1076331
                 13,6861                      -4,0884729
                  13,704                      -4,0698261
                 13,7219                      -4,0516674
                 13,7398                      -4,0339717
                 13,7577                      -4,0167088
                 13,7756                      -3,9998504
                 13,7935                      -3,9833666
                 13,8114                      -3,9672281
                 13,8293                      -3,9514026
                 13,8472                      -3,9358604
                 13,8651                      -3,9205726
                  13,883                       -3,905511
                 13,9009                      -3,8906486
                 13,9188                      -3,8759608
                 13,9367                      -3,8614232
                 13,9546                      -3,8470166
                 13,9725                      -3,8327224
                 13,9904                      -3,8185246
                 14,0083                      -3,8044121
                 14,0262                      -3,7903759
                 14,0441                      -3,7764086
                  14,062                      -3,7625108
                 14,0799                      -3,7486809
                 14,0978                      -3,7349248
                 14,1157                      -3,7212505
                 14,1336                      -3,7076695
                 14,1515                       -3,694195
                 14,1694                      -3,6808464
                 14,1873                      -3,6676427
                 14,2052                      -3,6546069
                 14,2231                      -3,6417648
                  14,241                      -3,6291434
                 14,2589                      -3,6167729
                 14,2768                      -3,6046818
                 14,2947                      -3,5929043
                 14,3126                      -3,5814698
                 14,3305                       -3,570413
                 14,3484                      -3,5597655
                 14,3663                      -3,5495611
                 14,3842                      -3,5398296
                 14,4021                      -3,5306022
                   14,42                      -3,5219084
                 14,4379                      -3,5137735
                 14,4558                       -3,506225
                 14,4737                      -3,4992842
                 14,4916                      -3,4929713
                 14,5095                      -3,4873026
                 14,5274                      -3,4822938
                 14,5453                      -3,4779546
                 14,5632                      -3,4742912
                 14,5811                       -3,471308
                  14,599                      -3,4690045
                 14,6169                      -3,4673762
                 14,6348                      -3,4664149
                 14,6527                      -3,4661099
                 14,6706                       -3,466443
                 14,6885                      -3,4673965
                 14,7064                      -3,4689455
                 14,7243                      -3,4710652
                 14,7422                      -3,4737238
                 14,7601                      -3,4768874
                  14,778                      -3,4805197
                 14,7959                      -3,4845832
                 14,8138                      -3,4890333
                 14,8317                      -3,4938305
                 14,8496                      -3,4989244
                 14,8675                      -3,5042722
                 14,8854                      -3,5098238
                 14,9033                      -3,5155317
                 14,9212                      -3,5213474
                 14,9391                      -3,5272229
                  14,957                      -3,5331104
                 14,9749                      -3,5389633
                 14,9928                      -3,5447383
                 15,0107                      -3,5503926
                 15,0286                      -3,5558841
                 15,0465                      -3,5611771
                 15,0644                      -3,5662376
                 15,0823                      -3,5710346
                 15,1002                      -3,5755407
                 15,1181                      -3,5797344
                  15,136                      -3,5835974
                 15,1539                      -3,5871159
                 15,1718                      -3,5902819
                 15,1897                      -3,5930893
                 15,2076                      -3,5955411
                 15,2255                      -3,5976415
                 15,2434                       -3,599402
                 15,2613                      -3,6008369
                 15,2792                      -3,6019669
                 15,2971                      -3,6028147
                  15,315                      -3,6034098
                 15,3329                      -3,6037838
                 15,3508                      -3,6039726
                 15,3687                      -3,6040163
                 15,3866                      -3,6039549
                 15,4045                      -3,6038352
                 15,4224                      -3,6037009
                 15,4403                      -3,6036033
                 15,4582                       -3,603592
                 15,4761                      -3,6037172
                  15,494                      -3,6040318
                 15,5119                      -3,6045866
                 15,5298                      -3,6054345
                 15,5477                      -3,6066269
                 15,5656                      -3,6082147
                 15,5835                      -3,6102481
                 15,6014                      -3,6127753
                 15,6193                      -3,6158435
                 15,6372                      -3,6194995
                 15,6551                      -3,6237854
                  15,673                      -3,6287434
                 15,6909                      -3,6344127
                 15,7088                      -3,6408303
                 15,7267                      -3,6480312
                 15,7446                      -3,6560477
                 15,7625                      -3,6649101
                 15,7804                      -3,6746451
                 15,7983                      -3,6852778
                 15,8162                      -3,6968326
                 15,8341                       -3,709329
                  15,852                       -3,722786
                 15,8699                      -3,7372216
                 15,8878                      -3,7526488
                 15,9057                      -3,7690817
                 15,9236                      -3,7865318
                 15,9415                      -3,8050092
                 15,9594                      -3,8245255
                 15,9773                      -3,8450863
                 15,9952                      -3,8666996
                 16,0131                      -3,8893737
                  16,031                       -3,913116
               16,048901                      -3,9379311
               16,066799                      -3,9638272
                 16,0847                      -3,9908115
                 16,1026                      -4,0188896
               16,120501                      -4,0480728
               16,138399                      -4,0783671
                 16,1563                      -4,1097845
                 16,1742                      -4,1423333
               16,192101                      -4,1760282
               16,209999                      -4,2108805
                 16,2279                      -4,2469064
                 16,2458                      -4,2841215
                 16,2637                      -4,3225416
               16,281601                      -4,3621886
                 16,2995                      -4,4030805
                 16,3174                      -4,4452396
                 16,3353                       -4,488691
               16,353201                      -4,5334568
               16,371099                      -4,5795631
                  16,389                      -4,6270387
                 16,4069                      -4,6759104
               16,424801                       -4,726206
               16,442699                      -4,7779573
                 16,4606                      -4,8311913
                 16,4785                      -4,8859413
               16,496401                      -4,9422368
               16,514299                       -5,000108
                 16,5322                      -5,0595859
                 16,5501                         -5,1207
               16,568001                      -5,1834792
               16,585899                      -5,2479532
                 16,6038                      -5,3141457
                 16,6217                      -5,3820846
               16,639601                      -5,4517954
               16,657499                      -5,5232966
                 16,6754                      -5,5966103
                 16,6933                      -5,6717534
               16,711201                      -5,7487413
               16,729099                      -5,8275852
                  16,747                      -5,9082973
                 16,7649                      -5,9908812
               16,782801                        -6,07534
               16,800699                      -6,1616739
                 16,8186                      -6,2498796
                 16,8365                      -6,3399475
               16,854401                      -6,4318681
               16,872299                      -6,5256245
                 16,8902                      -6,6211985
                 16,9081                      -6,7185662
               16,926001                      -6,8177024
               16,943899                       -6,918575
                 16,9618                      -7,0211517
                 16,9797                      -7,1253934
               16,997601                      -7,2312603
               17,015499                      -7,3387093
                 17,0334                      -7,4476929
