        Frequency / GHz                S1,1 (Fg=-1.37)/abs,dB
                 19.5832                      -9.9585082
                 19.6096                      -9.9269318
                  19.636                      -9.8955348
               19.662399                      -9.8642716
               19.688801                      -9.8330866
                 19.7152                      -9.8019188
                 19.7416                      -9.7706964
                  19.768                      -9.7393361
               19.794399                      -9.7077467
               19.820801                      -9.6758196
                 19.8472                      -9.6434397
                 19.8736                      -9.6104747
                    19.9                      -9.5767841
               19.926399                      -9.5422159
               19.952801                      -9.5066093
                 19.9792                      -9.4697939
                 20.0056                      -9.4315968
                  20.032                      -9.3918407
               20.058399                      -9.3503507
               20.084801                      -9.3069542
                 20.1112                       -9.261487
                 20.1376                      -9.2137907
                  20.164                      -9.1637262
               20.190399                      -9.1111691
               20.216801                      -9.0560159
                 20.2432                      -8.9981869
                 20.2696                      -8.9376291
                  20.296                      -8.8743138
               20.322399                      -8.8082451
               20.348801                      -8.7394544
                 20.3752                      -8.6680046
                 20.4016                      -8.5939886
               20.427999                      -8.5175238
               20.454399                      -8.4387579
               20.480801                      -8.3578585
                 20.5072                      -8.2750172
                 20.5336                      -8.1904393
               20.559999                      -8.1043477
               20.586399                      -8.0169729
               20.612801                      -7.9285513
                 20.6392                      -7.8393248
                 20.6656                      -7.7495298
               20.691999                      -7.6594021
               20.718399                      -7.5691668
               20.744801                       -7.479042
                 20.7712                      -7.3892285
                 20.7976                      -7.2999159
               20.823999                      -7.2112751
               20.850401                      -7.1234607
               20.876801                      -7.0366079
