        Frequency / GHz                S1,1 (Lf=8.1)/abs,dB
                 15.5704                      -6.4333002
                 15.5968                      -6.3960467
                 15.6232                      -6.3576337
                 15.6496                      -6.3180988
                  15.676                      -6.2774878
                 15.7024                      -6.2358528
                 15.7288                      -6.1932544
                 15.7552                      -6.1497645
                 15.7816                      -6.1054628
                  15.808                      -6.0604403
                 15.8344                      -6.0148001
                 15.8608                      -5.9686552
                 15.8872                        -5.92213
                 15.9136                       -5.875355
                   15.94                      -5.8284778
                 15.9664                      -5.7816488
                 15.9928                      -5.7350298
               16.019199                      -5.6887869
               16.045601                      -5.6430931
               16.072001                      -5.5981268
                 16.0984                      -5.5540682
                 16.1248                      -5.5110996
               16.151199                      -5.4694063
               16.177601                       -5.429166
                  16.204                      -5.3905639
                 16.2304                      -5.3537729
                 16.2568                      -5.3189653
               16.283199                      -5.2863126
               16.309601                      -5.2559689
                  16.336                      -5.2280905
                 16.3624                      -5.2028211
                 16.3888                       -5.180299
               16.415199                      -5.1606488
               16.441601                      -5.1439891
                  16.468                      -5.1304282
                 16.4944                      -5.1200589
                 16.5208                      -5.1129709
               16.547199                      -5.1092383
               16.573601                      -5.1089268
                    16.6                      -5.1120923
                 16.6264                      -5.1187762
                 16.6528                      -5.1290145
               16.679199                      -5.1428274
               16.705601                      -5.1602316
                  16.732                      -5.1812301
                 16.7584                      -5.2058166
                 16.7848                      -5.2339771
               16.811199                      -5.2656881
               16.837601                      -5.3009171
                  16.864                      -5.3396258
                 16.8904                      -5.3817655
                 16.9168                      -5.4272834
               16.943199                      -5.4761163
               16.969601                      -5.5281964
                  16.996                       -5.583449
                 17.0224                      -5.6417934
                 17.0488                      -5.7031444
               17.075199                        -5.76741
               17.101601                      -5.8344936
                  17.128                      -5.9042926
                 17.1544                      -5.9766996
               17.180799                      -6.0516052
               17.207199                      -6.1288911
               17.233601                      -6.2084374
                   17.26                      -6.2901174
                 17.2864                         -6.3738
               17.312799                      -6.4593493
               17.339199                      -6.5466237
               17.365601                      -6.6354761
                  17.392                      -6.7257538
                 17.4184                      -6.8172967
               17.444799                      -6.9099395
               17.471201                      -7.0035072
               17.497601                      -7.0978223
                  17.524                      -7.1926946
                 17.5504                      -7.2879291
               17.576799                      -7.3833215
               17.603201                      -7.4786586
               17.629601                       -7.573719
                  17.656                      -7.6682738
                 17.6824                      -7.7620848
               17.708799                      -7.8549065
               17.735201                      -7.9464858
                 17.7616                      -8.0365632
                  17.788                      -8.1248761
                 17.8144                      -8.2111535
               17.840799                      -8.2951234
               17.867201                      -8.3765137
                 17.8936                      -8.4550529
                   17.92                      -8.5304689
                 17.9464                      -8.6024986
               17.972799                      -8.6708855
               17.999201                      -8.7353803
                 18.0256                      -8.7957471
                  18.052                      -8.8517652
                 18.0784                      -8.9032284
               18.104799                      -8.9499508
               18.131201                      -8.9917657
                 18.1576                       -9.028531
                  18.184                      -9.0601247
                 18.2104                      -9.0864508
               18.236799                      -9.1074387
               18.263201                      -9.1230421
                 18.2896                      -9.1332416
                  18.316                      -9.1380403
                 18.3424                      -9.1374669
               18.368799                      -9.1315705
               18.395201                      -9.1204252
                 18.4216                      -9.1041216
                  18.448                      -9.0827755
                 18.4744                      -9.0565119
               18.500799                      -9.0254775
               18.527201                      -8.9898276
                 18.5536                      -8.9497365
                   18.58                      -8.9053824
                 18.6064                      -8.8569581
               18.632799                      -8.8046651
               18.659201                      -8.7487073
                 18.6856                      -8.6893012
                  18.712                      -8.6266636
                 18.7384                      -8.5610197
               18.764799                      -8.4925968
               18.791201                      -8.4216251
                 18.8176                      -8.3483386
                  18.844                      -8.2729747
               18.870399                      -8.1957695
               18.896799                      -8.1169589
               18.923201                      -8.0367835
                 18.9496                      -7.9554799
                  18.976                      -7.8732845
               19.002399                      -7.7904283
               19.028799                      -7.7071477
               19.055201                      -7.6236662
                 19.0816                       -7.540209
                  19.108                      -7.4569917
               19.134399                      -7.3742283
               19.160801                      -7.2921224
               19.187201                      -7.2108706
                 19.2136                      -7.1306635
                   19.24                      -7.0516792
               19.266399                      -6.9740886
               19.292801                      -6.8980502
               19.319201                      -6.8237144
                 19.3456                       -6.751217
                  19.372                      -6.6806845
               19.398399                       -6.612231
               19.424801                      -6.5459578
                 19.4512                      -6.4819528
                 19.4776                      -6.4202931
                  19.504                      -6.3610429
               19.530399                      -6.3042528
               19.556801                      -6.2499618
                 19.5832                      -6.1981961
                 19.6096                      -6.1489699
