        Frequency / GHz                S1,1 (W=37.2)/abs,dB
                  16.336                      -7.3474212
                 16.3624                       -7.278038
                 16.3888                      -7.2049283
               16.415199                      -7.1285078
               16.441601                      -7.0492136
                  16.468                      -6.9675074
                 16.4944                      -6.8838771
                 16.5208                      -6.7988359
               16.547199                      -6.7129226
               16.573601                      -6.6266939
                    16.6                      -6.5407165
                 16.6264                      -6.4555577
                 16.6528                      -6.3717656
               16.679199                      -6.2898581
               16.705601                      -6.2103024
                  16.732                      -6.1335006
                 16.7584                      -6.0597741
                 16.7848                       -5.989355
               16.811199                      -5.9223725
               16.837601                      -5.8588589
                  16.864                      -5.7987403
                 16.8904                       -5.741854
                 16.9168                       -5.687952
               16.943199                      -5.6367219
               16.969601                      -5.5878031
                  16.996                      -5.5408121
                 17.0224                       -5.495364
                 17.0488                      -5.4510951
               17.075199                      -5.4076894
               17.101601                       -5.364889
                  17.128                      -5.3225179
                 17.1544                      -5.2804838
               17.180799                      -5.2387828
               17.207199                      -5.1975004
               17.233601                      -5.1567967
                   17.26                      -5.1169008
                 17.2864                      -5.0780896
               17.312799                      -5.0406695
               17.339199                        -5.00496
               17.365601                      -4.9712743
                  17.392                      -4.9399028
                 17.4184                      -4.9110982
               17.444799                      -4.8850688
               17.471201                      -4.8619714
               17.497601                      -4.8419067
                  17.524                      -4.8249227
                 17.5504                      -4.8110203
               17.576799                      -4.8001647
               17.603201                      -4.7922898
               17.629601                      -4.7873122
                  17.656                      -4.7851473
                 17.6824                      -4.7857193
               17.708799                      -4.7889761
               17.735201                      -4.7948968
                 17.7616                      -4.8035044
                  17.788                      -4.8148704
                 17.8144                      -4.8291208
               17.840799                      -4.8464312
               17.867201                      -4.8670343
                 17.8936                      -4.8912043
                   17.92                      -4.9192569
                 17.9464                      -4.9515336
               17.972799                      -4.9883903
               17.999201                       -5.030184
                 18.0256                      -5.0772564
                  18.052                       -5.129913
                 18.0784                      -5.1884073
               18.104799                      -5.2529253
               18.131201                      -5.3235623
                 18.1576                      -5.4003079
                  18.184                      -5.4830295
                 18.2104                      -5.5714597
               18.236799                      -5.6651829
               18.263201                      -5.7636344
                 18.2896                       -5.866095
                  18.316                      -5.9717037
                 18.3424                      -6.0794659
               18.368799                      -6.1882875
               18.395201                      -6.2970033
                 18.4216                      -6.4044276
                  18.448                      -6.5094028
                 18.4744                        -6.61086
               18.500799                       -6.707883
               18.527201                      -6.7997613
                 18.5536                       -6.886041
                   18.58                      -6.9665582
                 18.6064                      -7.0414573
               18.632799                      -7.1111844
               18.659201                      -7.1764643
                 18.6856                      -7.2382532
                  18.712                      -7.2976813
                 18.7384                      -7.3559861
               18.764799                      -7.4144358
               18.791201                      -7.4742575
                 18.8176                      -7.5365735
                  18.844                      -7.6023423
               18.870399                      -7.6723113
               18.896799                      -7.7469899
               18.923201                      -7.8266211
                 18.9496                      -7.9111877
                  18.976                      -8.0004104
               19.002399                      -8.0937781
               19.028799                      -8.1905767
               19.055201                      -8.2899417
                 19.0816                      -8.3909098
                  19.108                      -8.4924828
