        Frequency - GHz                S1,1 (7)-abs,dB
                 12.8269                      -9.1090193
                 12.8448                      -9.1690752
                 12.8627                      -9.2280092
                 12.8806                      -9.2858242
                 12.8985                      -9.3425231
                 12.9164                      -9.3981054
                 12.9343                      -9.4525648
                 12.9522                      -9.5058949
                 12.9701                      -9.5580839
                  12.988                      -9.6091126
                 13.0059                        -9.65896
                 13.0238                      -9.7075942
                 13.0417                      -9.7549812
                 13.0596                      -9.8010759
                 13.0775                      -9.8458307
                 13.0954                      -9.8891882
                 13.1133                      -9.9310825
                 13.1312                      -9.9714431
                 13.1491                      -10.010193
                  13.167                      -10.047247
                 13.1849                      -10.082516
                 13.2028                      -10.115903
                 13.2207                       -10.14731
                 13.2386                      -10.176634
                 13.2565                      -10.203768
                 13.2744                      -10.228606
                 13.2923                       -10.25104
                 13.3102                      -10.270964
                 13.3281                      -10.288274
                  13.346                      -10.302867
                 13.3639                       -10.31465
                 13.3818                      -10.323531
                 13.3997                      -10.329427
                 13.4176                      -10.332266
                 13.4355                      -10.331981
                 13.4534                      -10.328519
                 13.4713                      -10.321838
                 13.4892                      -10.311906
                 13.5071                      -10.298706
                  13.525                      -10.282232
                 13.5429                      -10.262493
                 13.5608                      -10.239508
                 13.5787                      -10.213309
                 13.5966                      -10.183944
                 13.6145                      -10.151467
                 13.6324                      -10.115946
                 13.6503                       -10.07746
                 13.6682                      -10.036093
                 13.6861                      -9.9919391
                  13.704                      -9.9450981
                 13.7219                      -9.8956766
                 13.7398                      -9.8437827
                 13.7577                      -9.7895295
                 13.7756                      -9.7330316
                 13.7935                      -9.6744045
                 13.8114                      -9.6137601
                 13.8293                      -9.5512124
                 13.8472                      -9.4868706
                 13.8651                      -9.4208442
                  13.883                      -9.3532352
                 13.9009                      -9.2841427
                 13.9188                      -9.2136618
                 13.9367                      -9.1418804
                 13.9546                      -9.0688836
                 13.9725                      -8.9947484
                 13.9904                      -8.9195502
                 14.0083                      -8.8433538
                 14.0262                      -8.7662243
                 14.0441                      -8.6882185
                  14.062                      -8.6093893
                 14.0799                      -8.5297853
                 14.0978                      -8.4494524
                 14.1157                      -8.3684327
                 14.1336                      -8.2867655
                 14.1515                      -8.2044879
                 14.1694                      -8.1216343
                 14.1873                       -8.038241
